id,category,name,price,sales_price,color,gender
C1FB6010R003,Zoccoli,zoccoli con tacco basso e fascia in crosta arancio,79.0,39.5,Arancio,Donna
C1HN9004Z011,Sandali,sandali doppia fascia in strass zeppa in rafia ambra,119.9,83.93,Arancio,Donna
C1GD9130M078,Sandali,sandali bassi modello ciabatta in sughero e strass bicolor arancio/marrone,69.0,34.5,Arancio,Donna
C1NB4030R003,Décolleté,dècollète  in pelle con listini arancio,129.0,64.5,Arancio,Donna
C1GD9001R003,Sandali,sandali con multilistini e strass arancio,89.9,62.93,Arancio,Donna
C1EF5014R003,Décolleté,dècollète in suede con punta affusolata e catena decorativa arancio,139.0,69.5,Arancio,Donna
C1FD8004R003,Sandali,sandali con fascia in cavallino maculato e tacco a clessidra arancio,119.0,59.5,Arancio,Donna
C1FD6002R003,Sandali,sandali in pelle scamosciata con fascia decorara e fiore in 3d. arancio,109.0,54.5,Arancio,Donna
C1XO5557L001,Sandali,sandali doppia fascia effetto laminato argento,139.0,,Argento,Donna
C1NA2027L001,Sandali,sandalo con laccio dietro in pelle laminata argento,129.9,,Argento,Donna
C1GE9011L001,Sandali,sandali schiava effetto laminato argento,79.9,55.93,Argento,Donna
C1GE9012L001,Sandali,sandali stampa effetto pitonato con strass argento,89.9,62.93,Argento,Donna
C1MB9076L001,Sandali,sandali asimmetrici effetto laminato con strass argento,99.9,69.93,Argento,Donna
C1MB9003L001,Sandali,sandali con strass argento,109.0,54.5,Argento,Donna
C1MB9002L001,Sandali,sandali doppio nodo con strass argento,109.0,54.5,Argento,Donna
C1GD9001L001,Sandali,sandali con multilistini e strass argento,89.9,62.93,Argento,Donna
C1LB9014L001,Sandali,sandali gilda effetto laminato con fasce strass davanti argento,99.9,69.93,Argento,Donna
C1LB9011L001,Sandali,sandali effetto laminato a gabbia argento,89.9,62.93,Argento,Donna
C1DZ9130L001,Tronchetti,tronchetto in nylon con suola rialzata argento,129.0,64.5,Argento,Donna
C1LB9007L001,Sandali,sandali effetto laminato con dettaglio strass davanti argento,99.9,69.93,Argento,Donna
C1HM9050L001,Sandali,sandali gilda in rafia e tessuto con zeppa corda argento,89.0,44.5,Argento,Donna
C1MD9007L001,Sandali,sandalo gilda con strass argento,119.0,59.5,Argento,Donna
C1LF9003L001,Sandali,sandali chiusi dietro con strass argento,99.0,49.5,Argento,Donna
C1HB9030L001,Sandali,sandali con zeppa e tre fasce con strass argento,89.0,44.5,Argento,Donna
C1GN9050L001,Sandali,sandali fasce con strass argento,89.0,44.5,Argento,Donna
C1GN9020L001,Sandali,sandali chiusi sul retro e lacci con strass argento,89.0,44.5,Argento,Donna
C1GG2003L001,Sandali,sandali infradito in pelle metallizzata laccio alla caviglia argento,109.0,54.5,Argento,Donna
C1GG2001L001,Sandali,sandali in pelle metallizzata con laccio alla caviglia argento,109.0,54.5,Argento,Donna
C1XO5560W002,Sandali,sandali con incrocio bicolore bianco/argento,129.0,,Argento|Bianco,Donna
