,id,Store,category,name,price,sales_price,color,gender
0,C1FB6010R003,CafèNoir,Zoccoli,zoccoli con tacco basso e fascia in crosta arancio,79.0,39.5,Arancio,Donna
1,C1HN9004Z011,CafèNoir,Sandali,sandali doppia fascia in strass zeppa in rafia ambra,119.9,83.93,Arancio,Donna
2,C1GD9130M078,CafèNoir,Sandali,sandali bassi modello ciabatta in sughero e strass bicolor arancio/marrone,69.0,34.5,Arancio,Donna
3,C1NB4030R003,CafèNoir,Décolleté,dècollète  in pelle con listini arancio,129.0,64.5,Arancio,Donna
4,C1GD9001R003,CafèNoir,Sandali,sandali con multilistini e strass arancio,89.9,62.93,Arancio,Donna
5,C1EF5014R003,CafèNoir,Décolleté,dècollète in suede con punta affusolata e catena decorativa arancio,139.0,69.5,Arancio,Donna
6,C1FD8004R003,CafèNoir,Sandali,sandali con fascia in cavallino maculato e tacco a clessidra arancio,119.0,59.5,Arancio,Donna
7,C1FD6002R003,CafèNoir,Sandali,sandali in pelle scamosciata con fascia decorara e fiore in 3d. arancio,109.0,54.5,Arancio,Donna
8,C1XO5557L001,CafèNoir,Sandali,sandali doppia fascia effetto laminato argento,139.0,,Argento,Donna
9,C1NA2027L001,CafèNoir,Sandali,sandalo con laccio dietro in pelle laminata argento,129.9,,Argento,Donna
10,C1GE9011L001,CafèNoir,Sandali,sandali schiava effetto laminato argento,79.9,55.93,Argento,Donna
11,C1GE9012L001,CafèNoir,Sandali,sandali stampa effetto pitonato con strass argento,89.9,62.93,Argento,Donna
12,C1MB9076L001,CafèNoir,Sandali,sandali asimmetrici effetto laminato con strass argento,99.9,69.93,Argento,Donna
13,C1MB9003L001,CafèNoir,Sandali,sandali con strass argento,109.0,54.5,Argento,Donna
14,C1MB9002L001,CafèNoir,Sandali,sandali doppio nodo con strass argento,109.0,54.5,Argento,Donna
15,C1GD9001L001,CafèNoir,Sandali,sandali con multilistini e strass argento,89.9,62.93,Argento,Donna
16,C1LB9014L001,CafèNoir,Sandali,sandali gilda effetto laminato con fasce strass davanti argento,99.9,69.93,Argento,Donna
17,C1LB9011L001,CafèNoir,Sandali,sandali effetto laminato a gabbia argento,89.9,62.93,Argento,Donna
18,C1DZ9130L001,CafèNoir,Tronchetti,tronchetto in nylon con suola rialzata argento,129.0,64.5,Argento,Donna
19,C1LB9007L001,CafèNoir,Sandali,sandali effetto laminato con dettaglio strass davanti argento,99.9,69.93,Argento,Donna
20,C1HM9050L001,CafèNoir,Sandali,sandali gilda in rafia e tessuto con zeppa corda argento,89.0,44.5,Argento,Donna
21,C1MD9007L001,CafèNoir,Sandali,sandalo gilda con strass argento,119.0,59.5,Argento,Donna
22,C1LF9003L001,CafèNoir,Sandali,sandali chiusi dietro con strass argento,99.0,49.5,Argento,Donna
23,C1HB9030L001,CafèNoir,Sandali,sandali con zeppa e tre fasce con strass argento,89.0,44.5,Argento,Donna
24,C1GN9050L001,CafèNoir,Sandali,sandali fasce con strass argento,89.0,44.5,Argento,Donna
25,C1GN9020L001,CafèNoir,Sandali,sandali chiusi sul retro e lacci con strass argento,89.0,44.5,Argento,Donna
26,C1GG2003L001,CafèNoir,Sandali,sandali infradito in pelle metallizzata laccio alla caviglia argento,109.0,54.5,Argento,Donna
27,C1GG2001L001,CafèNoir,Sandali,sandali in pelle metallizzata con laccio alla caviglia argento,109.0,54.5,Argento,Donna
28,C1XO5560W002,CafèNoir,Sandali,sandali con incrocio bicolore bianco/argento,129.0,,Argento|Bianco,Donna
29,C1NC9042B063,CafèNoir,Sandali,sandali metallizzati con listini imbottiti cobalto/verde,109.9,76.93,Azzurro,Donna
30,C1EF2012B018,CafèNoir,Décolleté,dècollète in similpelle laminata con fasce laterali e fibbia multi azzurro,149.0,74.5,Azzurro,Donna
31,C1ED5003B018,CafèNoir,Mocassini,mocassini in pelle scamosciata con frangia multi azzurro,129.9,90.93,Azzurro,Donna
32,C1HF9000W069,CafèNoir,Sandali,sandali zeppa in tessuto bianco/celeste,89.9,,Azzurro|Bianco,Donna
33,C1XM1534M006,CafèNoir,Sandali,sandali in pelle multilistni incrociati sabbia,165.0,,Beige,Donna
34,C1XA9107M072,CafèNoir,Décolleté,décolleté in canvas con allacciatura alla schiava ecru,105.0,,Beige,Donna
35,C1XA9105M006,CafèNoir,Décolleté,décolleté in microfibra sabbia,105.0,,Beige,Donna
36,C1XA9100M006,CafèNoir,Décolleté,décolleté in microfibra con borche sabbia,119.0,,Beige,Donna
37,C1NA4027W059,CafèNoir,Sandali,sandalo laccio dietro in pelle osso,129.9,,Beige,Donna
38,C1NA4022W025,CafèNoir,Décolleté,décollété in pelle aperte dietro nude,129.9,,Beige,Donna
39,C1NA4021W059,CafèNoir,Décolleté,décollété in pelle osso,129.9,,Beige,Donna
40,C1ED9014W059,CafèNoir,Slingback,slingback in paglia intrecciata osso,109.9,,Beige,Donna
41,C1DS1012M008,CafèNoir,Mocassini,mocassino in pelle con accessorio smaltato beige,119.9,,Beige,Donna
42,C1DH9005M008,CafèNoir,Running,running con ricamo beige,119.9,,Beige,Donna
43,C1XW6010M032,CafèNoir,Tronchetti,tronchetto da donna con pelliccia sintetica e allacciatura camel,125.0,50.0,Beige,Donna
44,C1XW6000M032,CafèNoir,Tronchetti,tronchetto da donna con pelliccia sintetica camel,115.0,46.0,Beige,Donna
45,C1LF5505M008,CafèNoir,Tronchetti,tronchetto in camoscio con cinturino beige,149.9,74.95,Beige,Donna
46,C1FE6001M003,CafèNoir,Tronchetti,tronchetto da donna in pelle scamosciata con elastici biscotto,119.9,59.95,Beige,Donna
47,C1DZ6012M008,CafèNoir,Tronchetti,tronchetto da donna con doppia cerniera in pelle scamosciata beige,119.9,59.95,Beige,Donna
48,C1DR6039M032,CafèNoir,Sabot,sabot in pelle scamosciata camel,69.9,34.95,Beige,Donna
49,C1DR6029M032,CafèNoir,Tronchetti,tronchetto alla caviglia in pelle scamosciata camel,79.9,39.95,Beige,Donna
